url,search_type
https://www.mycareersfuture.sg/job/middle-office-analyst-94bf6e621b5ec8b0065c0a972388b0d4,analytics
https://www.mycareersfuture.sg/job/2019-financial-product-analytics-sales-graduate-program-indonesian-japanese-thai-speakers-bloomberg-singapore-107a40b7ef2019978f4c8f0e2ced2d64,analytics
https://www.mycareersfuture.sg/job/senior-manager-national-university-singapore-6533dac7f8772db7f0b368d2c63d1e80,analytics
https://www.mycareersfuture.sg/job/operations-securities-division-operations-equities-trading-services-operations-associate-goldman-sachs-services-3aeea5e233e2f818566fdee062eaa6e2,analytics
https://www.mycareersfuture.sg/job/platform-delivery-lead-standard-chartered-bank-5981c30478fb8b757717dab7a96cb71c,analytics
https://www.mycareersfuture.sg/job/data-science-consulting-f9f764d12974f48d7d205bf16a417566,analytics
https://www.mycareersfuture.sg/job/quant-standard-chartered-bank-a4db1009f11314ac88264d001d1473e0,analytics
https://www.mycareersfuture.sg/job/senior-software-developer-standard-chartered-bank-071da2499fa0876323072cb0fe977377,analytics
https://www.mycareersfuture.sg/job/talent-acquisition-lead-aviva-255113fee5298d5a4f8aba8040c48184,analytics
https://www.mycareersfuture.sg/job/market-analyst-kemin-industries-a22958670c33487c7c22e8cdf0ae52e8,analytics
https://www.mycareersfuture.sg/job/data-scientists-wsh-experts-ca1f372574183b87aa59ba1fd439481e,analytics
https://www.mycareersfuture.sg/job/senior-manager-strategic-procurement-project-schneider-electric-asia-8233c33d18e876a0d3d7389bbfd7a47e,analytics
https://www.mycareersfuture.sg/job/management-trainee-03fbc86fe797a8686da8d34de28d23dc,analytics
https://www.mycareersfuture.sg/job/lecturer-singapore-university-social-sciences-5f7429b478bfdc75fcaf517867d87c1f,analytics
https://www.mycareersfuture.sg/job/senior-lecturer-singapore-university-social-sciences-c0c608da792625b6e49f0c528d4f806e,analytics
https://www.mycareersfuture.sg/job/market-intelligence-manager-astellas-pharma-singapore-c8437208c4fa69861aa2309f2b64a2e0,analytics
https://www.mycareersfuture.sg/job/avp-investment-advisory-%E2%80%93-business-infrastructure-strategy-banking-dbs-bank-1c159dc54421b6d6e33cf5cb05f49aa3,analytics
https://www.mycareersfuture.sg/job/technical-lead-aem-hcl-singapore-993d151130be322dc350761c68f7fd0e,analytics
